# OptiScaler.ini 注释汉化词典 A
# 格式：英文<Tab>中文          —— 需要翻译
#        纯英文（无 Tab）        —— 有意保持原样
# 匹配为空白归一化，源文件里的对齐空格/制表符差异不影响命中。
Clamps the final image to the [0, 1] range.	将最终图像钳制到 [0, 1] 范围内。
Color texture resource state to fix for rainbow colors on AMD cards (for mostly UE games)	用于修复 AMD 显卡上彩虹色问题的颜色纹理资源状态（多见于 UE 游戏）
Combo     - requires the same as FFX AND Arturs, uses FFX for middle frames and Enabler for the rest. Allow for combining FSR 4 FG and Enabler in 4x and 6x modes	Combo     - 需要同时满足 FFX 和 Arturs 的要求，中间帧使用 FFX，其余帧使用 Enabler。允许在 4x 和 6x 模式下组合使用 FSR 4 FG 和 Enabler
Common resource barrier states	常用资源屏障状态
Contrast based sharpening value	基于对比度的锐化强度
Control Hudless, even if FG source provides one	即使 FG 输入源已提供无 HUD 图像，仍由本插件控制
Control a UI texture, even if FG source provides one	即使 FG 输入源已提供 UI 纹理，仍由本插件控制
Controls how latencyflex works	控制 latencyflex 的工作方式
Controls how strongly sharpening is reduced across depth edges.	控制沿深度边缘降低锐化的强度。
Controls the size of just the font without touching other style elements	仅调整字体大小，不影响其他样式元素
Controls value set to DLSSG.ShowDebug	控制设置给 DLSSG.ShowDebug 的值
Corresponds to amount of accumulation added per frame at pixel coordinate where disocclusion occurred or when reactive mask value is > 0.0f.	对应在发生去遮挡的像素坐标处、或反应遮罩值 > 0.0f 时，每帧增加的累积量。
Creating heap objects for XeSS before init	在初始化前为 XeSS 创建堆对象
Currently doesn't seem to do anything	目前似乎没有实际作用
Custom log filename	自定义日志文件名
Cutoffs transparency from UI to help with interpolation	截断 UI 的透明度以辅助插帧
DA - Enables Depth-based edge detection for sharpening.	DA - 启用基于深度的锐化边缘检测。
DLAA : 1.0
DXGI_FORMAT_R10G10B10A2_UNORM instead of DXGI_FORMAT_R16G16B16A16_FLOAT	使用 DXGI_FORMAT_R10G10B10A2_UNORM 替代 DXGI_FORMAT_R16G16B16A16_FLOAT
Decreasing this and drawing the ghosting object (IE no mv) to reactive mask with value close to 1.0f can decrease temporal ghosting.	降低该值，并将产生残影的物体（即无运动矢量）以接近 1.0f 的值绘制到反应遮罩，可减少时域残影。
Decreasing this value could result in more thin feature pixels flickering.	降低该值可能导致更多细薄特征的像素闪烁。
Default (auto) values:	默认（auto）值：
Default Tuning	默认调优
Default is .\OptiScaler	默认为 .\OptiScaler
Default is plugins under OptiDllPath ".\OptiScaler\plugins\"	默认位于 OptiDllPath 下的 plugins 目录 ".\OptiScaler\plugins\"
Defines FG rectangle	定义 FG 矩形区域
Delay before injecting late-loaded *.asi files in plugins folder	plugins 目录中延迟加载的 *.asi 文件的注入延迟
Delay some operations during creation of D11wDx12 features to increase compatibility	创建 D11wDx12 特性时延迟部分操作以提高兼容性
Delays HUDless image capture	延迟无 HUD 图像捕获
Depending on GPU - Default (auto) is 0 - FSR4 for RDNA4, FSR3 for the rest	取决于 GPU - 默认（auto）为 0 - RDNA4 使用 FSR4，其余使用 FSR3
Depends on DLSS version, but most recent order is	取决于 DLSS 版本，但最新的顺序为
Depends on DLSSD version, but most recent order is	取决于 DLSSD 版本，但最新的顺序为
Depth value will be divided to this value	深度值将除以此值
DeviceID to spoof	要伪装的 DeviceID
Disable FlipMetering	禁用 FlipMetering
Disable UI interpolation	禁用 UI 插帧
Disable hudless resource being sent to DLSSG	禁止将无 HUD 资源发送给 DLSSG
Disables FG options	禁用 FG 相关选项
Disables HUDFix resource tracking	禁用 HUDFix 资源跟踪
Disables Startup Splash message	禁用启动闪屏提示
Disabling it might improve performance in cost of stability	禁用后可能提升性能，但会牺牲稳定性
Do not use CreateRenderTargetView for resource tracking	资源跟踪时不使用 CreateRenderTargetView
Do not use CreateShaderResourceView for resource tracking	资源跟踪时不使用 CreateShaderResourceView
Do not use CreateUnorderedAccessView for resource tracking	资源跟踪时不使用 CreateUnorderedAccessView
Do not use Dispatch for resource tracking	资源跟踪时不使用 Dispatch
Do not use DrawIndexedInstanced for resource tracking	资源跟踪时不使用 DrawIndexedInstanced
Do not use DrawInstanced for resource tracking	资源跟踪时不使用 DrawInstanced
Do not use Hudless set at ffxConfig	不使用在 ffxConfig 中设置的无 HUD 图像
Do not use Hudless set at ffxDispatch	不使用在 ffxDispatch 中设置的无 HUD 图像
Do not use OMSetRenderTargets for resource tracking	资源跟踪时不使用 OMSetRenderTargets
Do not use SetComputeRootDescriptorTable for resource tracking	资源跟踪时不使用 SetComputeRootDescriptorTable
Do not use SetGraphicsRootDescriptorTable for resource tracking	资源跟踪时不使用 SetGraphicsRootDescriptorTable
Doesn't take effect when using XeFG	使用 XeFG 时无效
Don't fool yourself when trying to force FP8 on actually unsupported GPUs, driver has a FSR 3 fallback	在并不支持的 GPU 上强行启用 FP8 时不要自欺欺人，驱动会回退到 FSR 3
Don't inject into this specific process (case-insensitive)	不注入到此特定进程（不区分大小写）
Downscaler to use for Output Scaling	输出缩放所使用的降采样器
Draw UI over FG, requires Hudless and a UI texture, mostly for FSR FG	在 FG 之上绘制 UI，需要无 HUD 图像和 UI 纹理，主要用于 FSR FG
Driver version to be spoofed at registry	在注册表中伪装的驱动版本
Early hooking of kernel methods	提前挂钩内核方法
Enable Contrast based sharpening	启用基于对比度的锐化
Enable Debug Highlighting for Motion/DA Sharpening	为运动/DA 锐化启用调试高亮
Enable FSR-FG Redstone Watermark	启用 FSR-FG Redstone 水印
Enable FSR4 Watermark	启用 FSR4 水印
Enable Motion Sharpness	启用运动锐化
Enable Output Scaling option for Dx12 and Dx11 with Dx12 backends	为 Dx12 及使用 Dx12 后端的 Dx11 启用输出缩放选项
Enable V-Sync controls	启用垂直同步控制
Enables Async FSR3.1 Frame Generation	启用异步 FSR3.1 帧生成
Enables Async logging	启用异步日志
Enables Debug View for FSR3.X upscaler	为 FSR3.X 超分器启用调试视图
Enables FPS overlay	启用 FPS 叠加显示
Enables FSR3.1 Frame Generation Tear Lines	启用 FSR3.1 帧生成撕裂线显示
Enables FSR3.1 Frame Generation interpolation skip lines	启用 FSR3.1 帧生成插帧跳过线显示
Enables FSR3.1 Frame Generation pacing lines	启用 FSR3.1 帧生成节奏线显示
Enables Frame Generation	启用帧生成
Enables Frame Generation Debug View	启用帧生成调试视图
Enables GPU spoofing for Streamline, even if Dxgi spoofing is disabled for the rest of the game	为 Streamline 启用 GPU 伪装，即使游戏其余部分已禁用 Dxgi 伪装
Enables HUDFix Hudless tracking for Frame Generation	为帧生成启用 HUDFix 无 HUD 跟踪
Enables Horizontal FPS overlay layout	启用横向 FPS 叠加布局
Enables Light Theme for Menu	为菜单启用浅色主题
Enables Nvidia GPU spoofing for DXGI (can be changed above to spoof other vendors)	为 DXGI 启用 Nvidia GPU 伪装（可在上方修改为伪装其他厂商）
Enables Nvidia GPU spoofing for Vulkan (can be changed above to spoof other vendors)	为 Vulkan 启用 Nvidia GPU 伪装（可在上方修改为伪装其他厂商）
Enables Nvidia extension spoofing for Vulkan	为 Vulkan 启用 Nvidia 扩展伪装
Enables RCAS sharpening	启用 RCAS 锐化
Enables XeFG debug squares	启用 XeFG 调试方块
Enables blocking of Steam and Epic overlays	启用对 Steam 和 Epic 叠加层的屏蔽
Enables calls to original NVNGX	启用对原始 NVNGX 的调用
Enables capturing of resources before shader execution.	启用着色器执行前的资源捕获。
Enables checking for latest version from Github	启用从 Github 检查最新版本
Enables custom Frame Pace Tuning parameters	启用自定义帧节奏调优参数
Enables hot swapping between games FSR3.1 upscaler and OptiScaler's selected upscaler	启用游戏内 FSR3.1 超分器与 OptiScaler 所选超分器之间的热切换
Enables magnifier	启用放大镜
Enables new Overlay ImGui menus	启用新的 Overlay ImGui 菜单
Enables overriding of requested D3D feature level	启用对请求的 D3D 特性级别的覆盖
Enables spoofing of Hardware Accelerated GPU Scheduling	启用对硬件加速 GPU 调度（HAGS）的伪装
Enables usage of camera values (near, far, FOV)	启用相机参数的使用（近平面、远平面、FOV）
Enables usage of mutex for FG swapchain present calls	为 FG 交换链的 Present 调用启用互斥锁
Enables wrapping of DxgiFactory instead of hooking	启用对 DxgiFactory 的包装而非挂钩
Enabling the use of FSR4 on Windows 10 in older titles like Cyberpunk 2077	允许在 Windows 10 上的老游戏（如《赛博朋克 2077》）中使用 FSR4
Example path: C:\\Windows\\Fonts\\comic.ttf	路径示例：C:\Windows\Fonts\comic.ttf
Extended HUDless checks for more image formats	针对更多图像格式的扩展无 HUD 检查
Extends Scaling Ratio limits to 0.1 - 6.0	将缩放比例限制扩展到 0.1 - 6.0
FFX       - requires amd_fidelityfx_dx12.dll OR amd_fidelityfx_loader_dx12.dll + amd_fidelityfx_framegeneration_dx12.dll, FSRFG 3 or 4	FFX       - 需要 amd_fidelityfx_dx12.dll 或 amd_fidelityfx_loader_dx12.dll + amd_fidelityfx_framegeneration_dx12.dll，FSRFG 3 或 4
FPS Overlay background alpha	FPS 叠加层背景透明度
FPS overlay position	FPS 叠加层位置
FPS overlay type	FPS 叠加层类型
Fix broken visuals in some games (mostly non-UE) on AMD GPUs under Windows	修复 Windows 下 AMD 显卡在部分游戏（多为非 UE）中的画面异常
Fix the thick frametime graph caused by Nvidia's Flip Metering when using NukemFG, needs Fakenvapi to work	修复使用 NukemFG 时由 Nvidia Flip Metering 导致的帧时间曲线过粗问题，需要 Fakenvapi 才能生效
Fixes broken depth buffer info for DLSS-D + UE	修复 DLSS-D + UE 下损坏的深度缓冲信息
Flip Depth & Velocity textures	翻转深度与速度矢量纹理
Flip Depth & Velocity textures according to interpolation area	根据插帧区域翻转深度与速度矢量纹理
For UE engine games on AMD, set Color to 4 (D3D12_RESOURCE_STATE_RENDER_TARGET)	AMD 平台上的 UE 引擎游戏请将 Color 设为 4（D3D12_RESOURCE_STATE_RENDER_TARGET）
For UE engine games on AMD, set MotionVector to 8 (D3D12_RESOURCE_STATE_UNORDERED_ACCESS)	AMD 平台上的 UE 引擎游戏请将 MotionVector 设为 8（D3D12_RESOURCE_STATE_UNORDERED_ACCESS）
For all keycode values, you can check this address	所有按键代码的取值可查询以下地址
For overriding game's value sent to SL, could be Nvngx FG, could be noFG when someone uses real DLSSG	用于覆盖发送给 SL 的游戏内取值：可以是 Nvngx FG；当使用真实 DLSSG 时也可以是 noFG
https://github.com/artur-graniszewski/dlss-enabler-main/blob/a92464d468eb0d91ae17befa66c6bf6229f20b9f/Utils/DlssgProxy.cpp#L1033
Force Dynamic MFG in Opti's own DLSSG output. Requires Nvidia Blackwell or any AMD/Intel (Nvngx FG)	在 Opti 自身的 DLSSG 输出中强制启用动态 MFG。需要 Nvidia Blackwell 或任意 AMD/Intel 显卡（Nvngx FG）
Force HDR color space	强制使用 HDR 色彩空间
Force Reflex state, useful for games that only enable Reflex when using DLSSG without a separate toggle for Reflex	强制 Reflex 状态，适用于仅在使用 DLSSG 时才启用 Reflex、而没有独立 Reflex 开关的游戏
Force V-Sync value	强制垂直同步取值
Force add ENABLE_AUTOEXPOSURE to init flags	强制在初始化标志中加入 ENABLE_AUTOEXPOSURE
Force add HDR_INPUT_COLOR to init flags	强制在初始化标志中加入 HDR_INPUT_COLOR
Force add HIGH_RES_MV flag to init flags	强制在初始化标志中加入 HIGH_RES_MV
Force add INVERTED_DEPTH to init flags	强制在初始化标志中加入 INVERTED_DEPTH
Force add JITTERED_MV flag to init flags	强制在初始化标志中加入 JITTERED_MV
Force remove RESPONSIVE_PIXEL_MASK from init flags	强制从初始化标志中移除 RESPONSIVE_PIXEL_MASK
Forces Borderless mode instead of Exclusive Fullscreen	强制使用无边框模式而非独占全屏
Forces Opti to try to use a specific FSR 4 model	强制 Opti 尝试使用指定的 FSR 4 模型
Frame Pace Tuning	帧节奏调优
Frame rate limit that uses Reflex whenever possible	尽可能使用 Reflex 的帧率限制
Frametime source, would affect frame pacing	帧时间来源，会影响帧节奏
From 0 to 2 - Default (auto) is 0	0 至 2 - 默认（auto）为 0
From 0 to 5 - Default (auto) is game's default	0 至 5 - 默认（auto）为游戏默认值
Having both values set will switch the magnifier to a static mode	同时设置这两个值会将放大镜切换为静态模式
Helps games which use black borders for some resolutions and screen ratios (e.g. Witcher 3)	有助于解决部分分辨率和屏幕比例下使用黑边的游戏（如《巫师 3》）
High values might cause graphical GLITCHES when used with high sharpness values !!!	高数值与高锐化同时使用时可能导致画面出现异常（BUG）！！！
Higher the value, more bias on new frame	数值越高，对新帧的偏置越大
Higher values increases sharpness at high contrast areas.	数值越高，高对比度区域的锐化越强。
Higher values more aggressively block sharpening at object boundaries (reduces halos).	数值越高，越会积极地在物体边缘阻止锐化（可减少光晕）。
Higher values reduce noise and flickering from minor depth changes.	数值越高，越能减少微小深度变化引起的噪点和闪烁。
How long to spin if FPTHybridSpin is true. Measured in timer resolution units.	当 FPTHybridSpin 为 true 时的自旋时长。以计时器分辨率单位计。
How much a pixel should move before Motion Sharpness is applied	应用运动锐化前像素需要移动的距离
How much a pixel should move to reach maximum MotionSharpness value	像素移动多少距离可达到 MotionSharpness 最大值
If Vertical FOV is not defined will be used to calculate Vertical FOV	若未定义垂直 FOV，将用其计算垂直 FOV
If old and new descriptions are the same	如果新旧描述相同
If source tags more than one hudless only use first one	如果输入源标记了多个无 HUD 图像，仅使用第一个
If you see a black overlay or experience menu related crashes with Vulkan, try disabling	如果在 Vulkan 下出现黑屏叠加或与菜单相关的崩溃，请尝试禁用
If your game when using FG, frame rate is running at unexpectly low frame rate, after gradual transition from rendering complex to easy scene complexity,	如果游戏在使用 FG 时，从复杂场景逐渐过渡到简单场景后帧率异常偏低，
Ignores Reset signals coming from FG inputs	忽略来自 FG 输入的 Reset 信号
Ignores small depth differences before edge detection.	在边缘检测前忽略细小的深度差异。
In static mode, the magnifier is always visible, even when the menu is not	在静态模式下，即使菜单未打开，放大镜也始终可见
In-game FPS Overlay scale	游戏内 FPS 叠加层缩放
In-game ImGui menu scale	游戏内 ImGui 菜单缩放
Increase hudless capture chances but might cause capturing of unnecessary resources.	提高无 HUD 图像的捕获几率，但可能捕获不必要的资源。
Increases sharpness at high contrast areas.	增强高对比度区域的锐化。
Increasing this scales fsr3.1 computed shading change value at read to have higher reactiveness.	提高该值会在读取时放大 fsr3.1 计算出的着色变化值，以获得更高的响应性。
Increasing this value may reduce white pixel temporal flickering around swaying thin objects that are disoccluding one another often.	提高该值可减少摇摆细薄物体相互频繁去遮挡时周围白色像素的时域闪烁。
Indicates input color resource contains perceptual PQ colors	表示输入颜色资源包含感知 PQ 色彩
Indicates input color resource contains perceptual sRGB colors	表示输入颜色资源包含感知 sRGB 色彩
Indicates input color resource uses Non-Linear color space	表示输入颜色资源使用非线性色彩空间
Instead of single mutex use shards for tracking resources	使用分片而非单一互斥锁来跟踪资源
Integer value - Default (auto) is 0x10de	整数值 - 默认（auto）为 0x10de
Integer value - Default (auto) is 0x21 -> VK_PRIOR/Page up key	整数值 - 默认（auto）为 0x21 -> VK_PRIOR/Page up 键
Integer value - Default (auto) is 0x22 -> VK_NEXT/Page down key	整数值 - 默认（auto）为 0x22 -> VK_NEXT/Page down 键
Integer value - Default (auto) is 0x23 -> VK_END/End key	整数值 - 默认（auto）为 0x23 -> VK_END/End 键
Integer value - Default (auto) is 0x2684 (4090)	整数值 - 默认（auto）为 0x2684（4090）
Integer value - Default (auto) is 0x2D which equals VK_INSERT/Insert key, previous default key was 0x24 -> VK_HOME/Home key	整数值 - 默认（auto）为 0x2D，即 VK_INSERT/Insert 键；此前的默认按键为 0x24 -> VK_HOME/Home 键
Integer value - Default (auto) is all	整数值 - 默认（auto）为全部
Integer value in seconds - Default (auto) is 30	以秒为单位的整数值 - 默认（auto）为 30
It might cause stability issues on mode changes	在模式切换时可能导致稳定性问题
LCDA - Local contrast version of the above DA	LCDA - 上述 DA 的局部对比度版本
Lets OptiScaler load *.asi files in plugins folder	允许 OptiScaler 加载 plugins 目录中的 *.asi 文件
Loads Reshade64.dll from game's exe folder	从游戏 exe 所在目录加载 Reshade64.dll
Loads SpecialK64.dll from game's exe folder	从游戏 exe 所在目录加载 SpecialK64.dll
Loads custom amdxc64.dll for all detected RDNA 2 GPUs	为所有检测到的 RDNA 2 显卡加载自定义 amdxc64.dll
Log to Debug output	输出日志到调试输出
Log to NVNGX API	输出日志到 NVNGX API
Log to console (Log level is always 2 (Info) for performance reasons)	输出日志到控制台（出于性能考虑，日志级别始终为 2（Info））
Lower values allow more sharpening across edges (sharper, but riskier).	数值越低，允许在边缘处进行更多锐化（更锐利，但风险更高）。
Lower values preserve fine detail, but may react to depth noise.	数值越低越能保留精细细节，但可能对深度噪点敏感。
ML Frame Generators which handle HUD elements	处理 HUD 元素的机器学习帧生成器
Main folder for OptiScaler to check dll files below	OptiScaler 查找下级 dll 文件的主目录
Makes a copy of Depth to be used with Hudfix FG call	复制一份深度图，供 Hudfix FG 调用使用
Makes a copy of motion vectors to be used with Hudfix FG call	复制一份运动矢量，供 Hudfix FG 调用使用
Match Description with key Value	使描述与键值保持一致
May cause compatibility issues!!!	可能导致兼容性问题！！！
Meant for development purpose to test if writing a larger value to reactive mask, reduces ghosting	用于开发测试：验证向反应遮罩写入更大的值是否能减少残影
Might be required for some sets of DispatchFlags, see the reference	某些 DispatchFlags 组合可能需要，参见参考资料
Might cause bad IQ or crashes!	可能导致画质下降或崩溃！
Might cause crash and slowdowns.	可能导致崩溃和卡顿。
Might cause crashes or fix them	可能导致崩溃，也可能修复崩溃
Might cause crashes, especially if set too high!	可能导致崩溃，尤其是设置过高时！
Might cause crashes, especially with Async	可能导致崩溃，尤其是与异步模式同用时
Might cause issues or help Nvidia cards with other mods	可能导致问题，也可能帮助 Nvidia 显卡配合其他 MOD
Might cause performance issues but disabling might cause stability issues	可能导致性能问题，但禁用又可能引发稳定性问题
Might cause slow ramp up of FPS	可能导致 FPS 上升缓慢
Might help fixing overlay issues but also might reduce compatibility	可能有助于修复叠加层问题，但也可能降低兼容性
Might help games which does not capture inputs properly	可能有助于解决无法正确捕获输入的游戏
Might improve IQ of FSR4	可能改善 FSR4 的画质
Might improve performance on heavy multithreaded games	可能提升重度多线程游戏的性能
Might prevent FG on/off switching but also might cause issues	可能阻止 FG 的开/关切换，但也可能引发问题
Might prevents crashes when releasing swapchain	可能防止释放交换链时崩溃
Might use more VRAM	可能占用更多显存
Mostly useful when using custom fonts via TTFFontPath	主要用于通过 TTFFontPath 使用自定义字体的情况
NVIDIA GeForce RTX 4090 | Intel(R) Arc(TM) B580 Graphics | AMD Radeon RX 9070 XT
Needed for Uniscaler + FG	Uniscaler + FG 所需
None      - No replacement	None      - 不做替换
None, Nukems, Arturs, FFX, Combo - Default (auto) is None	None、Nukems、Arturs、FFX、Combo - 默认（auto）为 None
Normally after ResizeBuffers call swapchain buffers	通常在 ResizeBuffers 调用后交换交换链缓冲区
Normally after ResizeBuffers call swapchain current index	通常在 ResizeBuffers 调用后设置交换链当前索引
Not recommended to go below 2. Will result in frequent overshoots	不建议低于 2，否则会频繁出现过冲
Nukems    - requires dlssg_to_fsr3_amd_is_better.dll, FSR 3 FG	Nukems    - 需要 dlssg_to_fsr3_amd_is_better.dll，FSR 3 FG
Number of frames the FG is allowed to be ahead of the game	允许 FG 领先游戏渲染的帧数
Only hook ntdll.dll methods, skip kernel32.dll and kernelbase.dll hooks	仅挂钩 ntdll.dll 的方法，跳过 kernel32.dll 和 kernelbase.dll 的挂钩
Only inject into this specific process (case-insensitive)	仅注入到此特定进程（不区分大小写）
Only works when hudless is provided	仅在提供无 HUD 图像时有效
Only works with FSR FG Output and NvngxFG	仅适用于 FSR FG 输出和 NvngxFG
Open console window for logs	为日志打开控制台窗口
OptiScaler loads it from OptiDllPath, e.g. ".\OptiScaler\amdxc64.dll"	OptiScaler 从 OptiDllPath 加载，例如 ".\OptiScaler\amdxc64.dll"
OptiScaler will delay loading of Reshade and create D3D12 device first	OptiScaler 将延迟加载 Reshade，先创建 D3D12 设备
OptiScaler will hook (libxess.dll) and use XeSS Inputs	OptiScaler 将挂钩 (libxess.dll) 并使用 XeSS 输入
OptiScaler will hook (nvngx.dll) and use Dlss Inputs	OptiScaler 将挂钩 (nvngx.dll) 并使用 Dlss 输入
OptiScaler will hook FidelityFX (amd_fidelityfx_dx12.dll) API Inputs	OptiScaler 将挂钩 FidelityFX (amd_fidelityfx_dx12.dll) API 输入
OptiScaler will hook Fsr2 Dx11 Inputs instead of Dx12 one	OptiScaler 将挂钩 Fsr2 Dx11 输入而非 Dx12 输入
OptiScaler will hook Fsr2 Inputs	OptiScaler 将挂钩 Fsr2 输入
OptiScaler will hook Fsr2 Vulkan Inputs instead of Dx11 & Dx12 ones	OptiScaler 将挂钩 Fsr2 Vulkan 输入而非 Dx11 和 Dx12 输入
OptiScaler will hook Fsr3 Inputs	OptiScaler 将挂钩 Fsr3 输入
OptiScaler will report only first High Performance GPU	OptiScaler 仅报告第一个高性能 GPU
OptiScaler will try to force High Performance GPU	OptiScaler 将尝试强制使用高性能 GPU
OptiScaler will try to set swapchain buffer states	OptiScaler 将尝试设置交换链缓冲区状态
OptiScaler will try to set swapchain index by calling present	OptiScaler 将尝试通过调用 Present 来设置交换链索引
OptiScaler will use FidelityFX API Inputs	OptiScaler 将使用 FidelityFX API 输入
OptiScaler will use Fsr2 Inputs	OptiScaler 将使用 Fsr2 输入
OptiScaler will use Fsr3 Inputs	OptiScaler 将使用 Fsr3 输入
OptiScaler will use Tuning B as default	OptiScaler 将默认使用 Tuning B
Options are:	可选值：
Options below for overriding path per dll	以下选项用于按 dll 覆盖路径
Output Scaling ratio	输出缩放比例
Overlays uses the theme colors	叠加层使用主题配色
Override DLSS Sharpness parameter with fixed Sharpness value	用固定的锐化值覆盖 DLSS 锐化参数
Override all textures LOD bias (normally only overriding < 0 values)	覆盖所有纹理的 LOD 偏置（通常仅覆盖 < 0 的值）
Override max Anisotropy/Anisotropic Filtering for textures	覆盖纹理的最大各向异性/各向异性过滤
Override value for Mipmap LOD bias	覆盖 Mipmap LOD 偏置的值
Path that will be searched for same filename plugins (dxgi.dll, winmm.dll, etc.)	用于查找同名插件（dxgi.dll、winmm.dll 等）的路径
Performance : 2.0	性能 : 2.0
Please create an empty SpecialK.dxgi file next to SpecialK64.dll	请在 SpecialK64.dll 旁创建一个空的 SpecialK.dxgi 文件
Position offset of the magnifier in relation to the mouse position, in pixels	放大镜相对于鼠标位置的偏移，单位为像素
Prefer using D3D11_RESOURCE_MISC_SHARED, which is lower level	优先使用层级更低的 D3D11_RESOURCE_MISC_SHARED
Preserve and prevent releasing FG swapchain	保留并阻止释放 FG 交换链
Prevent swapchain buffers to be used as Hudless	阻止交换链缓冲区被用作无 HUD 图像
Prevents DirectX12 not supported error on UE games	防止 UE 游戏出现"不支持 DirectX12"的错误
Prevents OptiScaler from loading amdxc64.dll	阻止 OptiScaler 加载 amdxc64.dll
Prevents crashes after ResizeBuffers calls	防止 ResizeBuffers 调用后崩溃
Prevents overshoot artifacts such as bright halos or negative colors.	防止亮色光晕或负色等过冲伪影。
Process names seperated with pipe "|" - Default (auto) is	进程名以竖线 "|" 分隔 - 默认（auto）为
Quality : 1.5	质量 : 1.5
R/G/B float colors values of the accent color for the menu	菜单强调色的 R/G/B 浮点颜色值
RCAS - AMD's Robust Contrast-Adaptive Sharpening	RCAS - AMD 的稳健对比度自适应锐化
Radius of the magnifier at % of screen height	放大镜半径，以屏幕高度的百分比表示
Recommended for LDR pipelines; optional for HDR depending on tone-mapping.	推荐用于 LDR 管线；HDR 下是否启用取决于色调映射。
Reddish hue for added, greenish for reduced sharpness	加锐时偏红，减锐时偏绿
